Date,InterestRate,Inflation,Unemployment,Wage,Consumption,M2,M1,Treasury10Yr,BAA,Oil,Gold
1/1/1965,3.90,1.5576323988,4.9,3.2,6.9720614145,8.2102628285,4.6865104497,4.19,0.90,-1.6835016835,0
2/1/1965,3.98,1.5576323988,5.1,3.6,7.8113301722,8.1740442656,4.1585445094,4.21,0.80,-1.6835016835,0
3/1/1965,4.04,1.2422360248,4.7,4,7.8280318091,8.3479568814,4.4415414762,4.21,0.74,-1.6835016835,0
4/1/1965,4.09,1.5527950311,4.8,3.5856573705,8.477937531,8.3996023857,4.7680412371,4.20,0.71,-1.6835016835,0
5/1/1965,4.10,1.5527950311,4.6,3.9682539683,7.1393643032,8.0737602791,3.9292730845,4.21,0.71,-1.6835016835,0
6/1/1965,4.04,1.2383900929,4.6,3.557312253,5.8023792183,8.1667900321,4.2884990253,4.21,0.81,-1.6835016835,0
7/1/1965,4.09,1.2383900929,4.4,3.95256917,6.2815884477,8.0136818959,4.0514469453,4.20,0.79,0,0
8/1/1965,4.12,1.5527950311,4.4,3.95256917,6.3829787234,7.8326441255,3.6655948553,4.25,0.76,0,0
9/1/1965,4.01,1.5479876161,4.3,3.515625,8.4851390221,7.8662496993,3.865652725,4.29,0.90,0,0
10/1/1965,4.08,1.5432098765,4.2,4.7058823529,9.2574964303,8.0257204096,4.2579837195,4.35,0.85,0,0
11/1/1965,4.10,1.2307692308,4.1,3.8910505837,10.2662508995,7.9924331993,4.0841584158,4.45,0.85,0,0
12/1/1965,4.32,1.5384615385,4,3.8910505837,9.6537001898,8.1251459258,4.6694966646,4.62,0.70,0,0
1/1/1966,4.42,0.9202453988,4,4.2635658915,9.6,8.0499653019,5.1421657592,4.61,0.64,0,0
2/1/1966,4.60,1.226993865,3.8,4.2471042471,9.0046296296,7.8121367124,5.1777916407,4.83,0.52,0,0
3/1/1966,4.65,1.5337423313,3.8,3.8461538462,9.6335561189,7.7973160574,5.5034396498,4.87,0.67,0,0
4/1/1966,4.67,1.8348623853,3.8,4.2307692308,9.1407678245,7.7716643741,6.0270602706,4.75,0.74,0,0
5/1/1966,4.90,2.1406727829,3.9,3.8167938931,8.1241442264,7.4936592114,5.8601134216,4.78,0.58,0,0
6/1/1966,5.17,2.4464831804,3.8,3.8167938931,9.2703074805,7.1167883212,5.9190031153,4.81,0.41,0,0
7/1/1966,5.30,2.752293578,3.8,4.1825095057,8.9673913043,6.3786473648,4.5735475896,5.02,0.38,0,0
8/1/1966,5.53,3.0581039755,3.8,3.8022813688,8.7191011236,6.0455673359,4.4044665012,5.22,0.30,0,0
9/1/1966,5.40,3.0487804878,3.7,4.1509433962,8.2412726469,5.8429973238,4.3929225137,5.18,0.69,1.7123287671,0
10/1/1966,5.53,3.3434650456,3.7,4.1198501873,6.5127423219,5.1366843034,3.0630630631,5.01,0.57,1.7123287671,0
11/1/1966,5.76,3.6474164134,3.6,4.1198501873,6.7435283881,4.6857893584,2.7942925089,5.16,0.37,1.7123287671,0
12/1/1966,5.40,3.3333333333,3.8,4.1198501873,6.5541855938,4.4482833081,2.4913093859,4.84,0.78,1.7123287671,0
1/1/1967,4.94,3.6474164134,3.9,3.717472119,6.2473164448,4.1318775423,1.6110471807,4.58,1.03,1.7123287671,0
2/1/1967,5.00,3.6363636364,3.8,4.0740740741,4.8417923126,4.291567824,1.7793594306,4.63,0.82,2.7397260274,0
3/1/1967,4.53,3.6253776435,3.8,3.7037037037,4.3935253311,4.7649710238,2.489626556,4.54,1.32,2.7397260274,0
4/1/1967,4.05,3.3033033033,3.8,3.6900369004,5.1298157454,4.8500319081,1.3341067285,4.59,1.78,2.7397260274,0
5/1/1967,3.94,3.2934131737,3.8,4.0441176471,6.1629379485,5.812955813,2.5595238095,4.85,2.02,2.7397260274,0
6/1/1967,3.98,3.2835820896,3.9,4.7794117647,6.5728685426,6.6652470187,3.2941176471,5.02,2.17,2.7397260274,0
7/1/1967,3.79,3.2738095238,3.8,4.3795620438,5.4447215295,7.6334254731,4.7281323877,5.16,2.47,2.7397260274,0
8/1/1967,3.90,3.2640949555,3.8,4.7619047619,5.5188094254,8.1897468624,5.2881758764,5.28,2.43,5.1369863014,0
9/1/1967,3.99,3.550295858,3.8,4.7101449275,5.3888548683,8.3438685209,5.0847457627,5.30,2.41,3.367003367,0
10/1/1967,3.88,3.5294117647,4,4.3165467626,4.8875255624,8.8907527784,6.0023310023,5.48,2.64,3.367003367,0
11/1/1967,4.13,3.5190615836,3.9,4.6762589928,5.5838597921,9.098514955,6.3042220937,5.75,2.59,3.367003367,0
12/1/1967,4.51,3.8123167155,3.8,4.6762589928,6.7397482745,9.1585693612,6.5008479367,5.70,2.42,3.367003367,0
1/1/1968,4.60,4.1055718475,3.7,5.376344086,7.3954334209,9.3544407895,7.1347678369,5.53,2.24,3.367003367,0
2/1/1968,4.71,4.0935672515,3.8,4.9822064057,8.2033623658,9.2018196857,6.6433566434,5.56,2.09,2.3333333333,0
3/1/1968,5.05,4.3731778426,3.7,5.7142857143,9.7261377366,8.9121081746,6.1307113939,5.74,1.80,2.3333333333,0
4/1/1968,5.76,4.3604651163,3.5,6.0498220641,8.4644493129,8.9267599919,7.2123640527,5.64,1.21,2.3333333333,0
5/1/1968,6.11,4.347826087,3.5,6.0070671378,9.4234592445,8.5343604298,7.1387115496,5.87,0.92,2.3333333333,0
6/1/1968,6.07,4.6242774566,3.7,5.6140350877,9.7142857143,8.2451587143,7.1753986333,5.72,1.00,2.3333333333,0
7/1/1968,6.02,4.8991354467,3.7,5.9440559441,11.1154907371,7.9020150138,7.1106094808,5.50,0.96,2.3333333333,0
8/1/1968,6.03,4.8850574713,3.5,5.9440559441,11.1851126347,7.6681085332,6.9413092551,5.42,0.79,0,0
9/1/1968,5.78,4.8571428571,3.4,6.2283737024,10.1685066822,7.5651497472,6.7296996663,5.46,1.01,0,0
10/1/1968,5.91,4.8295454545,3.4,6.2068965517,11.5812049132,7.5486231465,6.7619571193,5.58,0.93,0,0
11/1/1968,5.82,5.0991501416,3.4,6.529209622,11.4456668597,7.8412576687,7.5081610446,5.70,1.19,0,0
12/1/1968,6.02,5.0847457627,3.4,6.529209622,9.7755800685,7.8977272727,7.6433121019,6.03,1.21,0,0
1/1/1969,6.30,5.0704225352,3.4,6.1224489796,9.9153339605,7.8210189885,7.7167019027,6.04,1.02,0,0
2/1/1969,6.61,5.3370786517,3.4,6.4406779661,10.3519281168,7.763681121,7.8142076503,6.19,0.69,0,0
3/1/1969,6.79,5.5865921788,3.4,6.4189189189,8.2216920536,7.7501881114,7.7929155313,6.30,0.72,5.8631921824,0
4/1/1969,7.41,6.1281337047,3.4,6.3758389262,9.1994124128,7.5433041535,7.5814201815,6.17,0.13,9.1205211726,0
5/1/1969,8.67,6.1111111111,3.4,6.3333333333,9.2114825581,7.1161748226,6.9339111593,6.32,-1.15,9.1205211726,14.3026862913
6/1/1969,8.90,5.8011049724,3.5,6.3122923588,8.0639367816,6.7318332719,6.3761955367,6.57,-1.20,9.1205211726,6.8059011189
7/1/1969,8.61,5.7692307692,3.5,6.2706270627,7.0415040795,6.2980593189,6.0063224447,6.72,-0.77,9.1205211726,0.805487987
8/1/1969,9.19,5.7534246575,3.5,6.600660066,7.6109936575,5.6245434624,5.2770448549,6.69,-1.33,9.1205211726,5.628024637
9/1/1969,9.15,5.9945504087,3.7,6.5146579805,7.9641350211,5.098535527,4.8462741011,7.16,-1.10,9.1205211726,4.9977482145
10/1/1969,9.00,5.9620596206,3.7,6.4935064935,8.2299493273,4.5120859445,4.4799176107,7.10,-0.78,9.1205211726,1.6467229887
11/1/1969,8.85,5.9299191375,3.5,6.4516129032,7.6203671631,3.9644444444,3.7449392713,7.14,-0.60,9.1205211726,3.2295622765
12/1/1969,8.97,6.1827956989,3.5,6.4516129032,8.0561330561,3.5808320169,3.2051282051,7.65,-0.32,9.1205211726,-5.8894938375
1/1/1970,8.98,6.1662198391,3.9,6.0897435897,7.7713111948,3.2258064516,3.4347399411,7.79,-0.12,9.1205211726,-14.4073317986
2/1/1970,8.98,6.1333333333,4.2,6.050955414,7.7014418999,2.5127394131,2.3821591485,7.24,-0.20,9.1205211726,-17.3676964337
